"away_team","home_team","away_spread","home_spread","away_ml","home_ml","away_spread_line","home_spread_line","est_time","x","league","spread_bets_away","spread_bets_home","ml_bets_away","ml_bets_home","statements_away_spread","statements_home_spread","statements_away_ml","statements_home_ml","gamecode"
"Butler","Houston","9.5","-9.5","325","-400","-110","-109",2021-11-22 16:30:00,14,"cbb - aac",0,0,0,0,"","","","","ButlerHouston"
"Akron","Fordham","-10.5","10.5","-554","405","-108","-112",2021-11-22 17:00:00,13,"cbb - a10",1,2,0,2," 

The bet is the away team, the Akron, against the Fordham at 2021-11-22 18:00:00 on the spread at -10.5. This is because the sharps are 53 percent more on the Fordham spread, and when home teams are receiving 53 percent more from the sharps, betting the spread for the away team has an eROI of 10% or better over a sample size of 1 / 846 games played in the last four years in the cbb - a10 ."," 

The bet is the home team, the Fordham, against the Akron at 2021-11-22 18:00:00 on the spread at 10.5. This is because the sharps are 53 percent more on the Fordham spread, and home teams receiving 17 percent more from the sharps on the spread have an eROI of 10% or better over a sample size of 123 / 846 games played in the last four years in the cbb - a10 . 

The bet is the home team, the Fordham, against the Akron at 2021-11-22 18:00:00 on the spread at 10.5. This is because the moneys are 98 percent on the Fordham spread, and home teams receiving 72 percent from the moneys on the spread have an eROI of 10% or better over a sample size of 124 / 846 games played in the last four years in the cbb - a10 .",""," 

The bet is the home team, the Fordham, against the Akron at 2021-11-22 18:00:00 on the moneyline at 405. This is because the sharps are 53 percent more on the Fordham spread, and home teams receiving 24 percent more from the sharps on the spread have an eROI of 10% or better over a sample size of 47 / 654 games played in the last four years in the cbb - a10 . 

The bet is the home team, the Fordham, against the Akron at 2021-11-22 18:00:00 on the moneyline at 405. This is because the moneys are 98 percent on the Fordham spread, and home teams receiving 69 percent from the moneys on the spread have an eROI of 10% or better over a sample size of 102 / 654 games played in the last four years in the cbb - a10 .","AkronFordham"
"Utah Valley","Idaho","-11","11","-702","485","-110","-110",2021-11-22 17:30:00,11,"cbb - bigsky",1,2,1,1," 

The bet is the away team, the Utah Valley, against the Idaho at 2021-11-22 18:30:00 on the spread at -11. This is because the moneys are 99 percent on the Idaho spread, and when home teams are receiving 96 percent from the moneys, betting the spread for the away team has an eROI of 10% or better over a sample size of 6 / 610 games played in the last four years in the cbb - bigsky ."," 

The bet is the home team, the Idaho, against the Utah Valley at 2021-11-22 18:30:00 on the spread at 11. This is because the publics are 83 percent on the Idaho spread, and home teams receiving 80 percent from the publics on the spread have an eROI of 10% or better over a sample size of 34 / 610 games played in the last four years in the cbb - bigsky . 

The bet is the home team, the Idaho, against the Utah Valley at 2021-11-22 18:30:00 on the spread at 11. This is because the moneys are 99 percent on the Idaho spread, and home teams receiving 79 percent from the moneys on the spread have an eROI of 10% or better over a sample size of 95 / 610 games played in the last four years in the cbb - bigsky ."," 

The bet is the away team, the Utah Valley, against the Idaho at 2021-11-22 18:30:00 on the moneyline at -702. This is because the publics are 83 percent on the Idaho spread, and when home teams are receiving 74 percent from the publics, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 47 / 443 games played in the last four years in the cbb - bigsky ."," 

The bet is the home team, the Idaho, against the Utah Valley at 2021-11-22 18:30:00 on the moneyline at 485. This is because the moneys are 99 percent on the Idaho spread, and home teams receiving 88 percent from the moneys on the spread have an eROI of 10% or better over a sample size of 20 / 443 games played in the last four years in the cbb - bigsky .","Utah ValleyIdaho"
"Creighton","S. Illinois","-5.5","5.5","-250","200","-107","-112",2021-11-22 17:45:00,12,"cbb - bigeast",0,0,0,0,"","","","","CreightonS. Illinois"
"Loyola Mary","SMU","3.5","-3.5","140","-165","-110","-110",2021-11-22 18:00:00,14,"cbb - aac",0,0,0,0,"","","","","Loyola MarySMU"
"Ohio State","Seton Hall","1.5","-1.5","-100","-125","-110","-110",2021-11-22 18:00:00,7,"cbb - big10",0,1,0,2," 

"," 

The bet is the home team, the Seton Hall, against the Ohio State at 2021-11-22 19:00:00 on the spread at -1.5. This is because the publics are 83 percent on the Seton Hall moneyline, and home teams receiving 78 percent from the publics on the moneyline have an eROI of 10% or better over a sample size of 73 / 887 games played in the last four years in the cbb - big10 . 

 

The bet is the home team, the Seton Hall, against the Ohio State at 2021-11-22 19:00:00 on the spread at -1.5. This is because the sharps are 27 percent more on the Ohio State moneyline, and when the away team is receiving 6 percent more from the sharps on the moneyline, the home team has an eROI of 10% or better over a sample size of 225 / 672 games played in the last four years in the cbb - bigeast ."," 

 

The bet is the away team, the Ohio State, against the Seton Hall at 2021-11-22 19:00:00 on the moneyline at -100. This is because the publics are 83 percent on the Seton Hall moneyline, and when home teams are receiving 52 percent from the publics, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 278 / 547 games played in the last four years in the cbb - bigeast ."," 

The bet is the home team, the Seton Hall, against the Ohio State at 2021-11-22 19:00:00 on the moneyline at -125. This is because the publics are 83 percent on the Seton Hall moneyline, and home teams receiving 76 percent from the publics on the moneyline have an eROI of 10% or better over a sample size of 48 / 635 games played in the last four years in the cbb - big10 . 

The bet is the home team, the Seton Hall, against the Ohio State at 2021-11-22 19:00:00 on the moneyline at -125. This is because the sharps are 27 percent more on the Ohio State moneyline, and when the away team is receiving 13 percent more from the sharps on the moneyline, the home team has an eROI of 10% or better over a sample size of 141 / 627 games played in the last four years in the cbb - big10 . 

 

The bet is the home team, the Seton Hall, against the Ohio State at 2021-11-22 19:00:00 on the moneyline at -125. This is because the sharps are 27 percent more on the Ohio State moneyline, and when the away team is receiving 5 percent more from the sharps on the moneyline, the home team has an eROI of 10% or better over a sample size of 187 / 534 games played in the last four years in the cbb - bigeast .","Ohio StateSeton Hall"
"Ohio State","Seton Hall","1.5","-1.5","-100","-125","-110","-110",2021-11-22 18:00:00,12,"cbb - bigeast",0,1,1,1,""," 

The bet is the home team, the Seton Hall, against the Ohio State at 2021-11-22 19:00:00 on the spread at -1.5. This is because the sharps are 27 percent more on the Ohio State moneyline, and when the away team is receiving 6 percent more from the sharps on the moneyline, the home team has an eROI of 10% or better over a sample size of 225 / 672 games played in the last four years in the cbb - bigeast ."," 

The bet is the away team, the Ohio State, against the Seton Hall at 2021-11-22 19:00:00 on the moneyline at -100. This is because the publics are 83 percent on the Seton Hall moneyline, and when home teams are receiving 52 percent from the publics, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 278 / 547 games played in the last four years in the cbb - bigeast ."," 

The bet is the home team, the Seton Hall, against the Ohio State at 2021-11-22 19:00:00 on the moneyline at -125. This is because the sharps are 27 percent more on the Ohio State moneyline, and when the away team is receiving 5 percent more from the sharps on the moneyline, the home team has an eROI of 10% or better over a sample size of 187 / 534 games played in the last four years in the cbb - bigeast .","Ohio StateSeton Hall"
"Cincinnati","Illinois","9.5","-9.5","400","-550","-112","-108",2021-11-22 18:30:00,7,"cbb - big10",0,0,0,0," 

"," 

"," 

"," 

","CincinnatiIllinois"
"Cincinnati","Illinois","9.5","-9.5","400","-550","-112","-108",2021-11-22 18:30:00,14,"cbb - aac",0,0,0,0,"","","","","CincinnatiIllinois"
"Cornell","Penn State","15.5","-15.5","800","-1819","-110","-110",2021-11-22 18:30:00,7,"cbb - big10",0,1,0,0," 

 

The bet is the away team, the Cornell, against the Penn State at 2021-11-22 19:30:00 on the spread at 15.5. This is because the sharps are 49 percent more on the Penn State moneyline, and when home teams are receiving 46 percent more from the sharps, betting the spread for the away team has an eROI of 10% or better over a sample size of 20 / 276 games played in the last four years in the cbb - ivy ."," 

The bet is the home team, the Penn State, against the Cornell at 2021-11-22 19:30:00 on the spread at -15.5. This is because the moneys are 99 percent on the Penn State moneyline, and home teams receiving 89 percent from the moneys on the moneyline have an eROI of 10% or better over a sample size of 185 / 857 games played in the last four years in the cbb - big10 . 

 

The bet is the home team, the Penn State, against the Cornell at 2021-11-22 19:30:00 on the spread at -15.5. This is because the moneys are 99 percent on the Penn State moneyline, and home teams receiving 98 percent from the moneys on the moneyline have an eROI of 10% or better over a sample size of 15 / 279 games played in the last four years in the cbb - ivy ."," 

"," 

 

The bet is the home team, the Penn State, against the Cornell at 2021-11-22 19:30:00 on the moneyline at -1819. This is because the sharps are 49 percent more on the Penn State moneyline, and home teams receiving 32 percent more from the sharps on the moneyline have an eROI of 10% or better over a sample size of 26 / 220 games played in the last four years in the cbb - ivy . 

The bet is the home team, the Penn State, against the Cornell at 2021-11-22 19:30:00 on the moneyline at -1819. This is because the moneys are 99 percent on the Penn State moneyline, and home teams receiving 65 percent from the moneys on the moneyline have an eROI of 10% or better over a sample size of 91 / 222 games played in the last four years in the cbb - ivy .","CornellPenn State"
"Cornell","Penn State","15.5","-15.5","800","-1819","-110","-110",2021-11-22 18:30:00,10,"cbb - ivy",1,1,0,2," 

The bet is the away team, the Cornell, against the Penn State at 2021-11-22 19:30:00 on the spread at 15.5. This is because the sharps are 49 percent more on the Penn State moneyline, and when home teams are receiving 46 percent more from the sharps, betting the spread for the away team has an eROI of 10% or better over a sample size of 20 / 276 games played in the last four years in the cbb - ivy ."," 

The bet is the home team, the Penn State, against the Cornell at 2021-11-22 19:30:00 on the spread at -15.5. This is because the moneys are 99 percent on the Penn State moneyline, and home teams receiving 98 percent from the moneys on the moneyline have an eROI of 10% or better over a sample size of 15 / 279 games played in the last four years in the cbb - ivy .",""," 

The bet is the home team, the Penn State, against the Cornell at 2021-11-22 19:30:00 on the moneyline at -1819. This is because the sharps are 49 percent more on the Penn State moneyline, and home teams receiving 32 percent more from the sharps on the moneyline have an eROI of 10% or better over a sample size of 26 / 220 games played in the last four years in the cbb - ivy . 

The bet is the home team, the Penn State, against the Cornell at 2021-11-22 19:30:00 on the moneyline at -1819. This is because the moneys are 99 percent on the Penn State moneyline, and home teams receiving 65 percent from the moneys on the moneyline have an eROI of 10% or better over a sample size of 91 / 222 games played in the last four years in the cbb - ivy .","CornellPenn State"
"Albany","Kentucky","26.5","-26.5","1500","-5000","-109","-110",2021-11-22 19:00:00,5,"cbb - sec",0,0,0,0,"","","","","AlbanyKentucky"
"Blue Jackets","Sabres","-1.5","1.5","-129","105","197","-250",2021-11-22 19:00:00,1,"nhl",1,0,1,2," 

The bet is the away team, the Blue Jackets, against the Sabres at 2021-11-22 20:00:00 on the spread at -1.5. This is because the sharps are 64 percent more on the Sabres moneyline, and when home teams are receiving 41 percent more from the sharps, betting the spread for the away team has an eROI of 10% or better over a sample size of 74 / 4029 games played in the last four years in the nhl .",""," 

The bet is the away team, the Blue Jackets, against the Sabres at 2021-11-22 20:00:00 on the moneyline at -129. This is because the sharps are 64 percent more on the Sabres moneyline, and when home teams are receiving 52 percent more from the sharps, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 12 / 4028 games played in the last four years in the nhl ."," 

The bet is the home team, the Sabres, against the Blue Jackets at 2021-11-22 20:00:00 on the moneyline at 105. This is because the sharps are 64 percent more on the Sabres moneyline, and home teams receiving 36 percent more from the sharps on the moneyline have an eROI of 10% or better over a sample size of 136 / 4028 games played in the last four years in the nhl . 

The bet is the home team, the Sabres, against the Blue Jackets at 2021-11-22 20:00:00 on the moneyline at 105. This is because the moneys are 99 percent on the Sabres spread, and home teams receiving 99 percent from the moneys on the spread have an eROI of 10% or better over a sample size of 51 / 4031 games played in the last four years in the nhl .","Blue JacketsSabres"
"Charleston So","GA Tech","23.5","-23.5","Offline","Offline","-109","-110",2021-11-22 19:00:00,6,"cbb - acc",0,0,0,0,"","","","","Charleston SoGA Tech"
"Harvard","Siena","-4.5","4.5","-200","166","-115","-104",2021-11-22 19:00:00,10,"cbb - ivy",0,1,0,1,""," 

The bet is the home team, the Siena, against the Harvard at 2021-11-22 20:00:00 on the spread at 4.5. This is because the moneys are 81 percent on the Harvard spread, and when the away team is receiving 80 percent from the moneys on the spread, the home team has an eROI of 10% or better over a sample size of 27 / 321 games played in the last four years in the cbb - ivy .",""," 

The bet is the home team, the Siena, against the Harvard at 2021-11-22 20:00:00 on the moneyline at 166. This is because the sharps are 21 percent more on the Harvard spread, and when away teams are receiving 19 percent more from the sharps on the spread, the home team has an eROI of 10% or better over a sample size of 55 / 249 games played in the last four years in the cbb - ivy .","HarvardSiena"
"Hofstra","Richmond","9.5","-9.5","319","-479","-110","-110",2021-11-22 19:00:00,13,"cbb - a10",0,1,0,1,""," 

The bet is the home team, the Richmond, against the Hofstra at 2021-11-22 20:00:00 on the spread at -9.5. This is because the moneys are 90 percent on the Hofstra spread, and when the away team is receiving 79 percent from the moneys on the spread, the home team has an eROI of 10% or better over a sample size of 76 / 846 games played in the last four years in the cbb - a10 .",""," 

The bet is the home team, the Richmond, against the Hofstra at 2021-11-22 20:00:00 on the moneyline at -479. This is because the moneys are 90 percent on the Hofstra spread, and when away teams are receiving 90 percent from the moneys on the spread, the home team has an eROI of 10% or better over a sample size of 14 / 654 games played in the last four years in the cbb - a10 .","HofstraRichmond"
"Hornets","Wizards","4","-4","145","-175","-109","-111",2021-11-22 19:00:00,2,"nba",0,0,0,0,"","","","","HornetsWizards"
"Lafayette","Rutgers","Offline","Offline","Offline","Offline","Offline","Offline",2021-11-22 19:00:00,7,"cbb - big10",0,2,0,2,""," 

The bet is the home team, the Rutgers, against the Lafayette at 2021-11-22 20:00:00 on the spread at Offline. This is because the sharps are 49 percent more on the Lafayette spread, and when the away team is receiving 15 percent more from the sharps on the spread, the home team has an eROI of 10% or better over a sample size of 132 / 898 games played in the last four years in the cbb - big10 . 

The bet is the home team, the Rutgers, against the Lafayette at 2021-11-22 20:00:00 on the spread at Offline. This is because the moneys are 99 percent on the Lafayette spread, and when the away team is receiving 82 percent from the moneys on the spread, the home team has an eROI of 10% or better over a sample size of 19 / 898 games played in the last four years in the cbb - big10 .",""," 

The bet is the home team, the Rutgers, against the Lafayette at 2021-11-22 20:00:00 on the moneyline at Offline. This is because the sharps are 49 percent more on the Lafayette spread, and when away teams are receiving 15 percent more from the sharps on the spread, the home team has an eROI of 10% or better over a sample size of 81 / 636 games played in the last four years in the cbb - big10 . 

The bet is the home team, the Rutgers, against the Lafayette at 2021-11-22 20:00:00 on the moneyline at Offline. This is because the moneys are 99 percent on the Lafayette spread, and when away teams are receiving 62 percent from the moneys on the spread, the home team has an eROI of 10% or better over a sample size of 152 / 636 games played in the last four years in the cbb - big10 .","LafayetteRutgers"
"Nets","Cavaliers","-6","6","-242","196","-110","-110",2021-11-22 19:00:00,2,"nba",0,2,2,1,""," 

The bet is the home team, the Cavaliers, against the Nets at 2021-11-22 20:00:00 on the spread at 6. This is because the sharps are 51 percent more on the Cavaliers spread, and home teams receiving 37 percent more from the sharps on the spread have an eROI of 10% or better over a sample size of 57 / 4283 games played in the last four years in the nba . 

The bet is the home team, the Cavaliers, against the Nets at 2021-11-22 20:00:00 on the spread at 6. This is because the publics are 81 percent on the Cavaliers moneyline, and home teams receiving 81 percent from the publics on the moneyline have an eROI of 10% or better over a sample size of 76 / 4278 games played in the last four years in the nba ."," 

The bet is the away team, the Nets, against the Cavaliers at 2021-11-22 20:00:00 on the moneyline at -242. This is because the sharps are 51 percent more on the Cavaliers spread, and when home teams are receiving 33 percent more from the sharps, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 77 / 3629 games played in the last four years in the nba . 

The bet is the away team, the Nets, against the Cavaliers at 2021-11-22 20:00:00 on the moneyline at -242. This is because the publics are 81 percent on the Cavaliers moneyline, and when home teams are receiving 80 percent from the publics, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 77 / 3626 games played in the last four years in the nba ."," 

The bet is the home team, the Cavaliers, against the Nets at 2021-11-22 20:00:00 on the moneyline at 196. This is because the sharps are 51 percent more on the Cavaliers spread, and home teams receiving 38 percent more from the sharps on the spread have an eROI of 10% or better over a sample size of 37 / 3629 games played in the last four years in the nba .","NetsCavaliers"
"Troy","FL Atlantic","5","-5","172","-223","-111","-109",2021-11-22 19:00:00,15,"cbb - cusa",0,1,1,1,""," 

The bet is the home team, the FL Atlantic, against the Troy at 2021-11-22 20:00:00 on the spread at -5. This is because the sharps are 39 percent more on the Troy spread, and when the away team is receiving 32 percent more from the sharps on the spread, the home team has an eROI of 10% or better over a sample size of 51 / 807 games played in the last four years in the cbb - cusa ."," 

The bet is the away team, the Troy, against the FL Atlantic at 2021-11-22 20:00:00 on the moneyline at 172. This is because the sharps are 39 percent more on the Troy spread, and away teams receiving 34 percent more from the sharps have an eROI of 10% or better over a sample size of 26 / 607 games played in the last four years in the cbb - cusa ."," 

The bet is the home team, the FL Atlantic, against the Troy at 2021-11-22 20:00:00 on the moneyline at -223. This is because the sharps are 39 percent more on the Troy spread, and when away teams are receiving 39 percent more from the sharps on the spread, the home team has an eROI of 10% or better over a sample size of 16 / 607 games played in the last four years in the cbb - cusa .","TroyFL Atlantic"
"Virginia","Georgia","-8","8","-400","280","-110","-110",2021-11-22 19:00:00,6,"cbb - acc",0,0,0,0," 

"," 

 

The bet is the home team, the Georgia, against the Virginia at 2021-11-22 20:00:00 on the spread at 8. This is because the publics are 74 percent on the Virginia spread, and when the away team is receiving 71 percent from the publics on the spread, the home team has an eROI of 10% or better over a sample size of 57 / 921 games played in the last four years in the cbb - sec ."," 

"," 

 

The bet is the home team, the Georgia, against the Virginia at 2021-11-22 20:00:00 on the moneyline at 280. This is because the publics are 74 percent on the Virginia spread, and when away teams are receiving 74 percent from the publics on the spread, the home team has an eROI of 10% or better over a sample size of 35 / 662 games played in the last four years in the cbb - sec .","VirginiaGeorgia"
"Virginia","Georgia","-8","8","-400","280","-110","-110",2021-11-22 19:00:00,5,"cbb - sec",0,1,0,1,""," 

The bet is the home team, the Georgia, against the Virginia at 2021-11-22 20:00:00 on the spread at 8. This is because the publics are 74 percent on the Virginia spread, and when the away team is receiving 71 percent from the publics on the spread, the home team has an eROI of 10% or better over a sample size of 57 / 921 games played in the last four years in the cbb - sec .",""," 

The bet is the home team, the Georgia, against the Virginia at 2021-11-22 20:00:00 on the moneyline at 280. This is because the publics are 74 percent on the Virginia spread, and when away teams are receiving 74 percent from the publics on the spread, the home team has an eROI of 10% or better over a sample size of 35 / 662 games played in the last four years in the cbb - sec .","VirginiaGeorgia"
"Rockets","Celtics","11.5","-11.5","490","-680","-110","-110",2021-11-22 19:30:00,2,"nba",0,1,0,1,""," 

The bet is the home team, the Celtics, against the Rockets at 2021-11-22 20:30:00 on the spread at -11.5. This is because the publics are 93 percent on the Rockets moneyline, and when the away team is receiving 83 percent from the publics on the moneyline, the home team has an eROI of 10% or better over a sample size of 69 / 4278 games played in the last four years in the nba .",""," 

The bet is the home team, the Celtics, against the Rockets at 2021-11-22 20:30:00 on the moneyline at -680. This is because the publics are 93 percent on the Rockets moneyline, and when the away team is receiving 86 percent from the publics on the moneyline, the home team has an eROI of 10% or better over a sample size of 34 / 3626 games played in the last four years in the nba .","RocketsCeltics"
"Thunder","Hawks","11.5","-11.5","507","-734","-110","-110",2021-11-22 19:30:00,2,"nba",1,1,2,2," 

The bet is the away team, the Thunder, against the Hawks at 2021-11-22 20:30:00 on the spread at 11.5. This is because the moneys are 96 percent on the Hawks spread, and when home teams are receiving 91 percent from the moneys, betting the spread for the away team has an eROI of 10% or better over a sample size of 22 / 4283 games played in the last four years in the nba ."," 

The bet is the home team, the Hawks, against the Thunder at 2021-11-22 20:30:00 on the spread at -11.5. This is because the sharps are 43 percent more on the Hawks spread, and home teams receiving 37 percent more from the sharps on the spread have an eROI of 10% or better over a sample size of 57 / 4283 games played in the last four years in the nba ."," 

The bet is the away team, the Thunder, against the Hawks at 2021-11-22 20:30:00 on the moneyline at 507. This is because the sharps are 43 percent more on the Hawks spread, and when home teams are receiving 33 percent more from the sharps, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 77 / 3629 games played in the last four years in the nba . 

The bet is the away team, the Thunder, against the Hawks at 2021-11-22 20:30:00 on the moneyline at 507. This is because the moneys are 96 percent on the Hawks spread, and when home teams are receiving 91 percent from the moneys, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 14 / 3629 games played in the last four years in the nba ."," 

The bet is the home team, the Hawks, against the Thunder at 2021-11-22 20:30:00 on the moneyline at -734. This is because the sharps are 43 percent more on the Hawks spread, and home teams receiving 38 percent more from the sharps on the spread have an eROI of 10% or better over a sample size of 37 / 3629 games played in the last four years in the nba . 

The bet is the home team, the Hawks, against the Thunder at 2021-11-22 20:30:00 on the moneyline at -734. This is because the moneys are 96 percent on the Hawks spread, and home teams receiving 89 percent from the moneys on the spread have an eROI of 10% or better over a sample size of 22 / 3629 games played in the last four years in the nba .","ThunderHawks"
